Código	Artículo	Precio sin impuestos	Porcentaje impuestos	Porcentaje liquidación	Fecha fin de promo	Fecha reposición	Canon digital	Part number	Stock local	Stock provincias	Id marca	Id categoría	Categoría	URL imagen	Código Icecat
10109562	Destornillador de Trinquete XIAOMI 16 en 1 (BHR4779GL)	PVM	7	0			0	BHR4779GL	10	10			Hogar / Electrónica consumo>Ferretería>Herramientas	https://cluster.binarycanarias.com/img/cp-10109562.jpg	-1
10109632	Botella Tinta  EPSON nº103 Magenta (C13T00S34A10)	PVM	7	0			0	C13T00S34A10	1	3			Consumibles impresión>Tintas Marcas>Tintas Epson	https://cluster.binarycanarias.com/img/cp-10109632.jpg	80076833
10109712	Switch TP-LINK 6p. 10/100 4xPoE+ 67W (TL-SF1006P)	PVM	7	0			0	TL-SF1006P	1	1			Redes y CCTV>Switch y routers>Switch 10/100	https://cluster.binarycanarias.com/img/cp-10109712.jpg	80076749
10109747	Latiguillo AISENS RJ45 Cat6 UTP Azul 1m(A135-0242)	PVM	7	0			0	A135-0242	6	10			Periféricos>Cables>Latiguillos de red	https://cluster.binarycanarias.com/img/cp-10109747.jpg	70325914
10109752	Latiguillo AISENS RJ45 Cat6 UTP Blanco 1m(A135-0250)	PVM	7	0			0	A135-0250	10	10			Periféricos>Cables>Latiguillos de red	https://cluster.binarycanarias.com/img/cp-10109752.jpg	70326090
10109949	Tinta Epson T05A3 Magenta XL (C13T05A300)	PVM	7	0			0	C13T05A300	1	2			Consumibles impresión>Tintas Marcas>Tintas Epson	https://cluster.binarycanarias.com/img/cp-10109949.jpg	77907272
10110486	"Disco WD Red Plus 10Tb 3.5"" SATA3 256Mb NAS (WD101EFBX)"	PVM	7	0			5.45	WD101EFBX	10	10			Integración>Discos Internos>SATA 3.5	https://cluster.binarycanarias.com/img/cp-10110486.jpg	88922317
10110678	Altavoz SONOS Move BT Portátil Blanco (SNS-MOVE1EU1)	PVM	7	0			0	SNS-MOVE1EU1	2	4			Multimedia>Sonido>Altavoces	https://cluster.binarycanarias.com/img/cp-10110678.jpg	79286487
10110803	Correa APPLE Airtag Loop cuero Marrón Caram(MX4A2ZM/A)	PVM	7	0			0	MX4A2ZM/A	2	3			Telefonía / Smartphones>Accesorios de telefonía móvil>Varios	https://cluster.binarycanarias.com/img/cp-10110803.jpg	91420766
10110837	Lector Tarjetas MUSTEK RFID RD200 Usb (RD200-M1-G)	PVM	7	0			0	RD200-M1-G	2	3			Terminales TPV>Terminal punto venta (TPV)>Varios (TPV)	https://cluster.binarycanarias.com/img/cp-10110837.jpg	-1
